GO-term	Name	Category	NumberOfProteinsInNetwork	TPD	P-value	FDR	ProteinAccessions	ProteinNames
GO:0031226	intrinsic component of plasma membrane	cellular_component	6	49	0.019236919	0.109433962	P05026|P27105|P55085|P05556|Q99996|Q12907|	ATP1B1|STOM|F2RL1|ITGB1|AKAP9|LMAN2|
GO:0031227	intrinsic component of endoplasmic reticulum membrane	cellular_component	4	40	0.862169674	1	O76024|O14975|Q8N766|Q9NQC3|	WFS1|SLC27A2|EMC1|RTN4|
GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	cellular_component	3	3	0.002764556	0.034602076	P61586|P62873|P63218|	RHOA|GNB1|GNG5|
GO:0031252	cell leading edge	cellular_component	5	19	9.80E-04	0.009118541	P62330|P61586|P05556|P35241|O14745|	ARF6|RHOA|ITGB1|RDX|SLC9A3R1|
GO:0031253	cell projection membrane	cellular_component	5	16	3.75E-04	0.009118541	P62330|P61586|P62873|P05556|O14745|	ARF6|RHOA|GNB1|ITGB1|SLC9A3R1|
GO:0031267	small GTPase binding	molecular_function	7	87	0.096267352	0.26221336	Q15904|P61006|Q99996|Q9H4P4|P61970|O14578|O75592|	ATP6AP1|RAB8A|AKAP9|RNF41|NUTF2|CIT|MYCBP2|
GO:0031300	intrinsic component of organelle membrane	cellular_component	4	45	0.959506549	1	O76024|O14975|Q9UH99|Q7Z5G4|	WFS1|SLC27A2|SUN2|GOLGA7|
GO:0031301	integral component of organelle membrane	cellular_component	3	16	0.510033482	0.754975978	O76024|O14975|Q9UH99|	WFS1|SLC27A2|SUN2|
GO:0031323	regulation of cellular metabolic process	biological_process	72	15823	0.956939834	1	Q08117|P61586|P38606|Q15904|P49454|P19784|P67870|P26358|Q7KZI7|P55085|O95573|P35555|P06280|Q08379|Q14789|P13984|Q92769|P09601|P14735|P61006|Q9HCE1|P52948|P09884|P16435|P17612|P13861|P31323|P62820|P35241|Q92900|P25440|Q04724|Q04726|Q15056|O76024|O75534|P35658|Q13617|O76061|Q13546|Q13310|O14745|Q9UN86|P62877|Q99996|Q9H4P4|O00566|O43823|P61916|Q13438|O95684|Q96B26|Q92552|Q92615|Q13868|O60885|P37198|Q8NEJ9|Q9NY61|P11940|Q96DZ1|Q9UHD2|Q9UJZ1|Q9NQT5|Q96SN8|Q9H270|Q9NQT4|Q9BQQ3|Q9C0D3|Q8TAD8|Q9H7Z7|Q2T9J0|	AES|RHOA|ATP6V1A|ATP6AP1|CENPF|CSNK2A2|CSNK2B|DNMT1|MARK2|F2RL1|ACSL3|FBN1|GLA|GOLGA2|GOLGB1|GTF2F2|HDAC2|HMOX1|IDE|RAB8A|MOV10|NUP98|POLA1|POR|PRKACA|PRKAR2A|PRKAR2B|RAB1A|RDX|UPF1|BRD2|TLE1|TLE3|EIF4H|WFS1|CSDE1|NUP214|CUL2|STC2|RIPK1|PABPC4|SLC9A3R1|G3BP2|RBX1|AKAP9|RNF41|MPHOSPH10|AKAP8|NPC2|OS9|FGFR1OP|EXOSC8|MRPS27|LARP4B|EXOSC2|BRD4|NUP62|NGDN|AATF|PABPC1|ERLEC1|TBK1|STOML2|EXOSC3|CDK5RAP2|VPS11|EXOSC5|GORASP1|ZYG11B|SNIP1|PTGES2|TYSND1|
GO:0031324	negative regulation of cellular metabolic process	biological_process	28	2308	0.836535492	0.986794718	Q08117|P61586|P49454|P19784|P26358|P55085|P06280|Q08379|Q92769|P09601|P14735|Q9HCE1|P16435|P13861|P31323|Q92900|Q04724|Q04726|O76024|O14745|Q9H4P4|O00566|Q13438|O95684|P37198|Q9NY61|P11940|Q96DZ1|	AES|RHOA|CENPF|CSNK2A2|DNMT1|F2RL1|GLA|GOLGA2|HDAC2|HMOX1|IDE|MOV10|POR|PRKAR2A|PRKAR2B|UPF1|TLE1|TLE3|WFS1|SLC9A3R1|RNF41|MPHOSPH10|OS9|FGFR1OP|NUP62|AATF|PABPC1|ERLEC1|
GO:0031325	positive regulation of cellular metabolic process	biological_process	39	4508	0.702001546	0.898412698	P61586|Q15904|P67870|P26358|Q7KZI7|P55085|O95573|Q08379|P13984|Q92769|P09601|Q9HCE1|P52948|P16435|P17612|P13861|P31323|P62820|P35241|Q92900|O76024|Q13546|P62877|Q99996|Q9H4P4|O43823|Q92552|Q92615|O60885|P37198|Q9NY61|P11940|Q9UHD2|Q9UJZ1|Q9NQT5|Q96SN8|Q9H270|Q9BQQ3|Q9H7Z7|	RHOA|ATP6AP1|CSNK2B|DNMT1|MARK2|F2RL1|ACSL3|GOLGA2|GTF2F2|HDAC2|HMOX1|MOV10|NUP98|POR|PRKACA|PRKAR2A|PRKAR2B|RAB1A|RDX|UPF1|WFS1|RIPK1|RBX1|AKAP9|RNF41|AKAP8|MRPS27|LARP4B|BRD4|NUP62|AATF|PABPC1|TBK1|STOML2|EXOSC3|CDK5RAP2|VPS11|GORASP1|PTGES2|
GO:0031326	regulation of cellular biosynthetic process	biological_process	42	5944	0.992316762	1	Q08117|P61586|P49454|P26358|P55085|O95573|P35555|P06280|Q08379|Q14789|P13984|Q92769|P09601|Q9HCE1|P52948|P09884|P16435|Q92900|P25440|Q04724|Q04726|Q15056|O76024|O75534|Q13617|O76061|Q13546|Q9UN86|P62877|Q9H4P4|Q92552|Q92615|O60885|P37198|Q8NEJ9|Q9NY61|P11940|Q9UHD2|Q9UJZ1|Q96SN8|Q8TAD8|Q9H7Z7|	AES|RHOA|CENPF|DNMT1|F2RL1|ACSL3|FBN1|GLA|GOLGA2|GOLGB1|GTF2F2|HDAC2|HMOX1|MOV10|NUP98|POLA1|POR|UPF1|BRD2|TLE1|TLE3|EIF4H|WFS1|CSDE1|CUL2|STC2|RIPK1|G3BP2|RBX1|RNF41|MRPS27|LARP4B|BRD4|NUP62|NGDN|AATF|PABPC1|TBK1|STOML2|CDK5RAP2|SNIP1|PTGES2|
GO:0031327	negative regulation of cellular biosynthetic process	biological_process	11	424	0.962896685	1	Q08117|P49454|P26358|P06280|Q92769|Q9HCE1|Q92900|Q04724|Q04726|O76024|Q9NY61|	AES|CENPF|DNMT1|GLA|HDAC2|MOV10|UPF1|TLE1|TLE3|WFS1|AATF|
GO:0031328	positive regulation of cellular biosynthetic process	biological_process	20	1263	0.940506655	1	P61586|P55085|O95573|Q08379|P13984|Q92769|P09601|P52948|P16435|Q13546|Q92552|Q92615|O60885|P37198|Q9NY61|P11940|Q9UHD2|Q9UJZ1|Q96SN8|Q9H7Z7|	RHOA|F2RL1|ACSL3|GOLGA2|GTF2F2|HDAC2|HMOX1|NUP98|POR|RIPK1|MRPS27|LARP4B|BRD4|NUP62|AATF|PABPC1|TBK1|STOML2|CDK5RAP2|PTGES2|
GO:0031329	regulation of cellular catabolic process	biological_process	23	1352	0.524492224	0.768392371	P38606|P19784|Q08379|P09601|P61006|Q9HCE1|P17612|P35241|Q92900|P35658|Q13310|P62877|Q9H4P4|Q13438|Q96B26|Q13868|P11940|Q96DZ1|Q9UHD2|Q9NQT5|Q9H270|Q9NQT4|Q2T9J0|	ATP6V1A|CSNK2A2|GOLGA2|HMOX1|RAB8A|MOV10|PRKACA|RDX|UPF1|NUP214|PABPC4|RBX1|RNF41|OS9|EXOSC8|EXOSC2|PABPC1|ERLEC1|TBK1|EXOSC3|VPS11|EXOSC5|TYSND1|
GO:0031330	negative regulation of cellular catabolic process	biological_process	7	119	0.665194273	0.857605178	P19784|Q08379|P09601|Q9H4P4|Q13438|P11940|Q96DZ1|	CSNK2A2|GOLGA2|HMOX1|RNF41|OS9|PABPC1|ERLEC1|
GO:0031331	positive regulation of cellular catabolic process	biological_process	8	164	0.756084624	0.940037477	P09601|Q9HCE1|P35241|Q92900|P62877|P11940|Q9UHD2|Q9H270|	HMOX1|MOV10|RDX|UPF1|RBX1|PABPC1|TBK1|VPS11|
GO:0031334	positive regulation of protein complex assembly	biological_process	7	72	0.017259321	0.109433962	P62330|P61586|P14735|P62877|Q99996|Q8N4C6|Q96SN8|	ARF6|RHOA|IDE|RBX1|AKAP9|NIN|CDK5RAP2|
GO:0031344	regulation of cell projection organization	biological_process	13	306	0.011086977	0.109433962	P62330|P61586|Q7KZI7|P55085|Q92769|Q9P0L2|P11233|P35241|Q66GS9|O75592|Q8N4C6|Q9NQC3|Q9BQQ3|	ARF6|RHOA|MARK2|F2RL1|HDAC2|MARK1|RALA|RDX|CEP135|MYCBP2|NIN|RTN4|GORASP1|
GO:0031345	negative regulation of cell projection organization	biological_process	5	33	0.034633618	0.26221336	P62330|P61586|Q92769|Q9NQC3|Q9BQQ3|	ARF6|RHOA|HDAC2|RTN4|GORASP1|
GO:0031346	positive regulation of cell projection organization	biological_process	6	42	0.005407227	0.034602076	P61586|Q7KZI7|P55085|P11233|Q66GS9|Q8N4C6|	RHOA|MARK2|F2RL1|RALA|CEP135|NIN|
GO:0031347	regulation of defense response	biological_process	5	43	0.183301105	0.401050788	P55085|P17612|Q13546|O60885|Q9UHD2|	F2RL1|PRKACA|RIPK1|BRD4|TBK1|
GO:0031349	positive regulation of defense response	biological_process	4	21	0.080927689	0.26221336	P55085|P17612|Q13546|Q9UHD2|	F2RL1|PRKACA|RIPK1|TBK1|
GO:0031396	regulation of protein ubiquitination	biological_process	5	44	0.208546472	0.438333333	Q08379|P62820|O76024|Q9BQQ3|Q9C0D3|	GOLGA2|RAB1A|WFS1|GORASP1|ZYG11B|
GO:0031398	positive regulation of protein ubiquitination	biological_process	4	17	0.02723999	0.109433962	Q08379|P62820|O76024|Q9BQQ3|	GOLGA2|RAB1A|WFS1|GORASP1|
GO:0031399	regulation of protein modification process	biological_process	24	1084	3.74E-04	0.009118541	P61586|Q15904|P67870|P26358|Q7KZI7|P55085|Q08379|Q92769|P17612|P13861|P31323|P62820|O76024|Q13546|O14745|Q99996|Q9H4P4|O43823|O95684|O60885|P37198|Q9UHD2|Q9BQQ3|Q9C0D3|	RHOA|ATP6AP1|CSNK2B|DNMT1|MARK2|F2RL1|GOLGA2|HDAC2|PRKACA|PRKAR2A|PRKAR2B|RAB1A|WFS1|RIPK1|SLC9A3R1|AKAP9|RNF41|AKAP8|FGFR1OP|BRD4|NUP62|TBK1|GORASP1|ZYG11B|
GO:0031400	negative regulation of protein modification process	biological_process	8	101	0.018871102	0.109433962	P26358|P55085|Q92769|P13861|P31323|O14745|O95684|P37198|	DNMT1|F2RL1|HDAC2|PRKAR2A|PRKAR2B|SLC9A3R1|FGFR1OP|NUP62|
GO:0031401	positive regulation of protein modification process	biological_process	19	664	0.001398649	0.034602076	P61586|Q15904|P67870|P26358|Q7KZI7|P55085|Q08379|Q92769|P17612|P13861|P31323|P62820|O76024|Q13546|Q99996|O43823|O60885|Q9UHD2|Q9BQQ3|	RHOA|ATP6AP1|CSNK2B|DNMT1|MARK2|F2RL1|GOLGA2|HDAC2|PRKACA|PRKAR2A|PRKAR2B|RAB1A|WFS1|RIPK1|AKAP9|AKAP8|BRD4|TBK1|GORASP1|
GO:0031410	cytoplasmic vesicle	cellular_component	43	4385	0.037489181	0.26221336	O94973|P62330|P61586|Q15904|Q96CW1|P19784|P67870|P00387|P27105|P55085|P06280|Q08379|P05556|P61006|Q99519|P50897|P17612|P62820|P61019|P51148|P11233|O76024|P51149|O00203|Q13546|Q92820|Q9Y4L1|P61916|P61026|Q12907|O14975|Q9NP72|Q9BS26|Q96JC1|Q9UH99|Q9UHD2|Q7Z5G4|P61106|Q9H270|Q8IWA5|Q86YT6|Q9H7Z7|Q4KMQ2|	AP2A2|ARF6|RHOA|ATP6AP1|AP2M1|CSNK2A2|CSNK2B|CYB5R3|STOM|F2RL1|GLA|GOLGA2|ITGB1|RAB8A|NEU1|PPT1|PRKACA|RAB1A|RAB2A|RAB5C|RALA|WFS1|RAB7A|AP3B1|RIPK1|GGH|HYOU1|NPC2|RAB10|LMAN2|SLC27A2|RAB18|ERP44|VPS39|SUN2|TBK1|GOLGA7|RAB14|VPS11|SLC44A2|MIB1|PTGES2|ANO6|
GO:0031461	cullin-RING ubiquitin ligase complex	cellular_component	5	20	2.52E-05	0.009118541	Q13617|P62877|P61962|Q9NXK8|Q9C0D3|	CUL2|RBX1|DCAF7|FBXL12|ZYG11B|
GO:0031462	Cul2-RING ubiquitin ligase complex	cellular_component	3	6	3.68E-04	0.009118541	Q13617|P62877|Q9C0D3|	CUL2|RBX1|ZYG11B|
GO:0031489	myosin V binding	molecular_function	3	3	0.002764556	0.034602076	P61006|P61026|P61106|	RAB8A|RAB10|RAB14|
GO:0031503	protein-containing complex localization	biological_process	10	110	4.04E-07	0.009118541	P61006|Q99567|P52948|Q92900|P35658|P78406|O95391|Q8TEM1|P37198|Q7Z3B4|	RAB8A|NUP88|NUP98|UPF1|NUP214|RAE1|SLU7|NUP210|NUP62|NUP54|
GO:0031519	PcG protein complex	cellular_component	4	10	0.002241051	0.034602076	P19784|P67870|Q92769|Q14157|	CSNK2A2|CSNK2B|HDAC2|UBAP2L|
GO:0031589	cell-substrate adhesion	biological_process	4	21	0.080927689	0.26221336	P61586|P05556|P62820|Q9Y5J6|	RHOA|ITGB1|RAB1A|TIMM10B|
GO:0031625	ubiquitin protein ligase binding	molecular_function	9	142	0.001241046	0.034602076	P17612|P13861|P31323|P11233|O76024|Q13617|Q13546|P62877|Q9NQC3|	PRKACA|PRKAR2A|PRKAR2B|RALA|WFS1|CUL2|RIPK1|RBX1|RTN4|
GO:0031647	regulation of protein stability	biological_process	5	52	0.467949169	0.715589888	P05026|O76024|Q7Z5G4|Q9H270|Q9NQC3|	ATP1B1|WFS1|GOLGA7|VPS11|RTN4|
GO:0031667	response to nutrient levels	biological_process	4	40	0.862169674	1	O95573|P09601|P16435|O76061|	ACSL3|HMOX1|POR|STC2|
GO:0031668	cellular response to extracellular stimulus	biological_process	3	29	0.996945492	1	Q08117|P09601|Q9H773|	AES|HMOX1|DCTPP1|
GO:0031902	late endosome membrane	cellular_component	3	3	0.002764556	0.034602076	P51149|Q96JC1|Q9H270|	RAB7A|VPS39|VPS11|
GO:0031903	microbody membrane	cellular_component	3	20	0.808820532	0.978115502	O95573|O00116|O14975|	ACSL3|AGPS|SLC27A2|
GO:0031907	microbody lumen	cellular_component	3	4	0.005483653	0.034602076	P14735|O00116|Q2T9J0|	IDE|AGPS|TYSND1|
GO:0031965	nuclear membrane	cellular_component	6	45	1.76E-04	0.009118541	P52948|P61970|Q8TEM1|P37198|Q9UH99|Q7Z3B4|	NUP98|NUTF2|NUP210|NUP62|SUN2|NUP54|
GO:0031966	mitochondrial membrane	cellular_component	24	2280	0.998926561	1	P11310|Q9Y276|P00387|O95573|Q9Y6M9|O75439|Q92552|Q10713|Q9Y5J6|P62072|Q9Y5J7|Q9Y5J9|Q9H845|Q9UJZ1|Q9Y375|Q9Y399|Q9BQ95|P82663|Q5VT66|P82675|Q9HAV7|O43169|Q8N183|Q96DA6|	ACADM|BCS1L|CYB5R3|ACSL3|NDUFB9|PMPCB|MRPS27|PMPCA|TIMM10B|TIMM10|TIMM9|TIMM8B|ACAD9|STOML2|NDUFAF1|MRPS2|ECSIT|MRPS25|MARC1|MRPS5|GRPEL1|CYB5B|NDUFAF2|DNAJC19|
GO:0031967	organelle envelope	cellular_component	37	4883	0.982950454	1	P11310|Q9Y276|P49454|P00387|O95573|P55789|Q9Y6M9|Q99567|P52948|P09884|P35658|P78406|O75439|P61970|Q92552|Q10713|Q8TEM1|P37198|Q9UH99|Q9Y5J6|P62072|Q9Y5J7|Q9Y5J9|Q9H845|Q9UJZ1|Q9Y375|Q9Y399|Q9BQ95|Q7Z3B4|Q9NQC3|P82663|Q5VT66|P82675|Q9HAV7|O43169|Q8N183|Q96DA6|	ACADM|BCS1L|CENPF|CYB5R3|ACSL3|GFER|NDUFB9|NUP88|NUP98|POLA1|NUP214|RAE1|PMPCB|NUTF2|MRPS27|PMPCA|NUP210|NUP62|SUN2|TIMM10B|TIMM10|TIMM9|TIMM8B|ACAD9|STOML2|NDUFAF1|MRPS2|ECSIT|NUP54|RTN4|MRPS25|MARC1|MRPS5|GRPEL1|CYB5B|NDUFAF2|DNAJC19|
GO:0031968	organelle outer membrane	cellular_component	5	100	0.922066691	1	P00387|O95573|P61970|Q5VT66|O43169|	CYB5R3|ACSL3|NUTF2|MARC1|CYB5B|
GO:0031970	organelle envelope lumen	cellular_component	6	96	0.207075251	0.436090226	P55789|Q9Y5J6|P62072|Q9Y5J7|Q9Y5J9|Q9UJZ1|	GFER|TIMM10B|TIMM10|TIMM9|TIMM8B|STOML2|
GO:0031974	membrane-enclosed lumen	cellular_component	95	29053	0.999986327	1	P11310|P49454|P12109|P19784|P67870|P00387|P26358|Q7KZI7|P13804|P35555|P55789|P06280|P13984|Q92769|P09601|P14735|Q08431|Q99519|Q99567|P52948|P09884|P50897|P49642|P49643|P17612|P48556|Q92900|P25440|P09132|P61011|Q04724|Q04726|O76024|P35658|Q13617|P78406|O00116|O76061|Q92820|O43818|O75439|Q14157|P62877|Q9UDR5|O00566|P61970|P61962|O43823|Q6UX04|Q9Y4L1|O95391|P61916|Q9BSJ2|Q13438|O14975|Q96B26|Q9BS26|Q92552|Q92615|Q9NU22|Q10713|Q13868|O60885|Q14181|Q9UH99|Q9Y3U8|Q8NEJ9|Q9Y5J6|P62072|Q9Y5J7|Q9Y5J9|Q9NY61|Q96DZ1|Q9UHD2|Q9UJZ1|Q9NQT5|Q9Y399|Q7Z5G4|Q8N4C6|Q9BQ95|Q9NW13|Q9NQT4|Q9H173|P82675|Q8NBJ5|Q8TAD8|Q9BSC4|Q8IWF2|Q9H7Z7|Q9BZQ6|Q9HAV7|Q96HW7|Q86VM9|Q96DA6|Q2T9J0|	ACADM|CENPF|COL6A1|CSNK2A2|CSNK2B|CYB5R3|DNMT1|MARK2|ETFA|FBN1|GFER|GLA|GTF2F2|HDAC2|HMOX1|IDE|MFGE8|NEU1|NUP88|NUP98|POLA1|PPT1|PRIM1|PRIM2|PRKACA|PSMD8|UPF1|BRD2|SRP19|SRP54|TLE1|TLE3|WFS1|NUP214|CUL2|RAE1|AGPS|STC2|GGH|RRP9|PMPCB|UBAP2L|RBX1|AASS|MPHOSPH10|NUTF2|DCAF7|AKAP8|CWC27|HYOU1|SLU7|NPC2|TUBGCP2|OS9|SLC27A2|EXOSC8|ERP44|MRPS27|LARP4B|MDN1|PMPCA|EXOSC2|BRD4|POLA2|SUN2|RPL36|NGDN|TIMM10B|TIMM10|TIMM9|TIMM8B|AATF|ERLEC1|TBK1|STOML2|EXOSC3|MRPS2|GOLGA7|NIN|ECSIT|RBM28|EXOSC5|SIL1|MRPS5|COLGALT1|SNIP1|NOL10|FOXRED2|PTGES2|EDEM3|GRPEL1|INTS4|ZC3H18|DNAJC19|TYSND1|
GO:0031975	envelope	cellular_component	37	4883	0.982950454	1	P11310|Q9Y276|P49454|P00387|O95573|P55789|Q9Y6M9|Q99567|P52948|P09884|P35658|P78406|O75439|P61970|Q92552|Q10713|Q8TEM1|P37198|Q9UH99|Q9Y5J6|P62072|Q9Y5J7|Q9Y5J9|Q9H845|Q9UJZ1|Q9Y375|Q9Y399|Q9BQ95|Q7Z3B4|Q9NQC3|P82663|Q5VT66|P82675|Q9HAV7|O43169|Q8N183|Q96DA6|	ACADM|BCS1L|CENPF|CYB5R3|ACSL3|GFER|NDUFB9|NUP88|NUP98|POLA1|NUP214|RAE1|PMPCB|NUTF2|MRPS27|PMPCA|NUP210|NUP62|SUN2|TIMM10B|TIMM10|TIMM9|TIMM8B|ACAD9|STOML2|NDUFAF1|MRPS2|ECSIT|NUP54|RTN4|MRPS25|MARC1|MRPS5|GRPEL1|CYB5B|NDUFAF2|DNAJC19|
GO:0031981	nuclear lumen	cellular_component	56	9406	0.711156656	0.901077996	P11310|P49454|P19784|P67870|P26358|Q7KZI7|P13984|Q92769|P09601|Q99567|P52948|P09884|P49642|P49643|P17612|P48556|Q92900|P25440|P09132|P61011|Q04724|Q04726|P35658|Q13617|P78406|O00116|O43818|Q14157|P62877|O00566|P61970|P61962|O43823|Q6UX04|O95391|Q9BSJ2|Q96B26|Q92615|Q9NU22|Q13868|O60885|Q14181|Q9UH99|Q9Y3U8|Q8NEJ9|Q9NY61|Q9UHD2|Q9NQT5|Q8N4C6|Q9BQ95|Q9NW13|Q9NQT4|Q8TAD8|Q9BSC4|Q96HW7|Q86VM9|	ACADM|CENPF|CSNK2A2|CSNK2B|DNMT1|MARK2|GTF2F2|HDAC2|HMOX1|NUP88|NUP98|POLA1|PRIM1|PRIM2|PRKACA|PSMD8|UPF1|BRD2|SRP19|SRP54|TLE1|TLE3|NUP214|CUL2|RAE1|AGPS|RRP9|UBAP2L|RBX1|MPHOSPH10|NUTF2|DCAF7|AKAP8|CWC27|SLU7|TUBGCP2|EXOSC8|LARP4B|MDN1|EXOSC2|BRD4|POLA2|SUN2|RPL36|NGDN|AATF|TBK1|EXOSC3|NIN|ECSIT|RBM28|EXOSC5|SNIP1|NOL10|INTS4|ZC3H18|
GO:0031982	vesicle	cellular_component	62	9009	8.67E-05	0.009118541	O94973|P62330|P61586|P05026|P38606|Q15904|Q96CW1|P12109|P19784|P67870|P00387|P27105|P55085|P06280|P62873|P63218|Q08379|P05556|P27448|P61006|Q08431|Q99519|O00469|P50897|P17612|P13861|P31323|P62820|P61019|P51148|P11233|P52306|P35241|O76024|Q13724|P51149|O00203|Q13546|Q92820|O14745|P61970|Q9Y4L1|P61916|P61026|Q12907|O14975|Q9BV73|Q9NP72|Q9BS26|Q96JC1|Q9UH99|P11940|Q9NZL9|Q9UHD2|Q7Z5G4|P61106|Q96SN8|Q9H270|Q8IWA5|Q86YT6|Q9H7Z7|Q4KMQ2|	AP2A2|ARF6|RHOA|ATP1B1|ATP6V1A|ATP6AP1|AP2M1|COL6A1|CSNK2A2|CSNK2B|CYB5R3|STOM|F2RL1|GLA|GNB1|GNG5|GOLGA2|ITGB1|MARK3|RAB8A|MFGE8|NEU1|PLOD2|PPT1|PRKACA|PRKAR2A|PRKAR2B|RAB1A|RAB2A|RAB5C|RALA|RAP1GDS1|RDX|WFS1|MOGS|RAB7A|AP3B1|RIPK1|GGH|SLC9A3R1|NUTF2|HYOU1|NPC2|RAB10|LMAN2|SLC27A2|CEP250|RAB18|ERP44|VPS39|SUN2|PABPC1|MAT2B|TBK1|GOLGA7|RAB14|CDK5RAP2|VPS11|SLC44A2|MIB1|PTGES2|ANO6|
GO:0031983	vesicle lumen	cellular_component	9	99	3.77E-04	0.009118541	P67870|P00387|P06280|Q99519|Q92820|Q9Y4L1|P61916|Q9BS26|Q9H7Z7|	CSNK2B|CYB5R3|GLA|NEU1|GGH|HYOU1|NPC2|ERP44|PTGES2|
GO:0031984	organelle subcompartment	cellular_component	32	2612	0.425331136	0.664005806	P61586|Q15904|P00387|O95573|Q08379|Q14789|P09601|P61006|O00469|P16435|P62820|P61019|O76024|Q13724|Q00765|Q99996|Q9H4P4|P61026|Q13438|Q12907|O14975|O14578|Q9NP72|Q8N766|Q9BS26|Q8TEM1|Q7Z5G4|P61106|Q9NQC3|Q9BQQ3|Q9H7Z7|Q96HR9|	RHOA|ATP6AP1|CYB5R3|ACSL3|GOLGA2|GOLGB1|HMOX1|RAB8A|PLOD2|POR|RAB1A|RAB2A|WFS1|MOGS|REEP5|AKAP9|RNF41|RAB10|OS9|LMAN2|SLC27A2|CIT|RAB18|EMC1|ERP44|NUP210|GOLGA7|RAB14|RTN4|GORASP1|PTGES2|REEP6|
GO:0032040	small-subunit processome	cellular_component	4	6	3.68E-04	0.009118541	O43818|O00566|Q8NEJ9|Q9BSC4|	RRP9|MPHOSPH10|NGDN|NOL10|
GO:0032101	regulation of response to external stimulus	biological_process	5	56	0.612215431	0.829829172	P55085|O75592|O60885|Q9UHD2|Q4KMQ2|	F2RL1|MYCBP2|BRD4|TBK1|ANO6|
GO:0032103	positive regulation of response to external stimulus	biological_process	3	14	0.344818652	0.591047041	P55085|Q9UHD2|Q4KMQ2|	F2RL1|TBK1|ANO6|
GO:0032147	activation of protein kinase activity	biological_process	5	25	0.00542092	0.034602076	Q7KZI7|P17612|P13861|P31323|Q13546|	MARK2|PRKACA|PRKAR2A|PRKAR2B|RIPK1|
GO:0032153	cell division site	cellular_component	8	62	7.43E-05	0.009118541	P62330|P61586|P05556|P11233|P35241|Q96CW5|Q9BSJ2|O14578|	ARF6|RHOA|ITGB1|RALA|RDX|TUBGCP3|TUBGCP2|CIT|
GO:0032154	cleavage furrow	cellular_component	6	29	2.93E-04	0.009118541	P62330|P61586|P05556|P11233|P35241|O14578|	ARF6|RHOA|ITGB1|RALA|RDX|CIT|
GO:0032155	cell division site part	cellular_component	8	62	7.43E-05	0.009118541	P62330|P61586|P05556|P11233|P35241|Q96CW5|Q9BSJ2|O14578|	ARF6|RHOA|ITGB1|RALA|RDX|TUBGCP3|TUBGCP2|CIT|
GO:0032200	telomere organization	biological_process	5	19	9.80E-04	0.009118541	P09884|P49642|P49643|Q92900|Q14181|	POLA1|PRIM1|PRIM2|UPF1|POLA2|
GO:0032201	telomere maintenance via semi-conservative replication	biological_process	5	19	9.80E-04	0.009118541	P09884|P49642|P49643|Q92900|Q14181|	POLA1|PRIM1|PRIM2|UPF1|POLA2|
GO:0032268	regulation of cellular protein metabolic process	biological_process	39	3791	0.223333144	0.444813278	P61586|Q15904|P19784|P67870|P26358|Q7KZI7|P55085|Q08379|Q92769|P14735|Q9HCE1|P16435|P17612|P13861|P31323|P62820|P35241|Q92900|Q15056|O76024|Q13546|O14745|P62877|Q99996|Q9H4P4|O43823|Q13438|O95684|Q92552|Q92615|O60885|P37198|Q8NEJ9|P11940|Q96DZ1|Q9UHD2|Q9H270|Q9BQQ3|Q9C0D3|	RHOA|ATP6AP1|CSNK2A2|CSNK2B|DNMT1|MARK2|F2RL1|GOLGA2|HDAC2|IDE|MOV10|POR|PRKACA|PRKAR2A|PRKAR2B|RAB1A|RDX|UPF1|EIF4H|WFS1|RIPK1|SLC9A3R1|RBX1|AKAP9|RNF41|AKAP8|OS9|FGFR1OP|MRPS27|LARP4B|BRD4|NUP62|NGDN|PABPC1|ERLEC1|TBK1|VPS11|GORASP1|ZYG11B|
GO:0032269	negative regulation of cellular protein metabolic process	biological_process	15	528	0.311710749	0.534792807	P19784|P26358|P55085|Q92769|P14735|Q9HCE1|P16435|P13861|P31323|Q92900|O14745|Q13438|O95684|P37198|Q96DZ1|	CSNK2A2|DNMT1|F2RL1|HDAC2|IDE|MOV10|POR|PRKAR2A|PRKAR2B|UPF1|SLC9A3R1|OS9|FGFR1OP|NUP62|ERLEC1|
GO:0032270	positive regulation of cellular protein metabolic process	biological_process	25	1399	0.049843013	0.26221336	P61586|Q15904|P67870|P26358|Q7KZI7|P55085|Q08379|Q92769|P17612|P13861|P31323|P62820|P35241|O76024|Q13546|P62877|Q99996|O43823|Q92552|Q92615|O60885|P11940|Q9UHD2|Q9H270|Q9BQQ3|	RHOA|ATP6AP1|CSNK2B|DNMT1|MARK2|F2RL1|GOLGA2|HDAC2|PRKACA|PRKAR2A|PRKAR2B|RAB1A|RDX|WFS1|RIPK1|RBX1|AKAP9|AKAP8|MRPS27|LARP4B|BRD4|PABPC1|TBK1|VPS11|GORASP1|
GO:0032271	regulation of protein polymerization	biological_process	6	37	0.001921998	0.034602076	P62330|P61586|P35241|Q99996|Q8N4C6|Q96SN8|	ARF6|RHOA|RDX|AKAP9|NIN|CDK5RAP2|
GO:0032273	positive regulation of protein polymerization	biological_process	5	22	0.002386661	0.034602076	P62330|P61586|Q99996|Q8N4C6|Q96SN8|	ARF6|RHOA|AKAP9|NIN|CDK5RAP2|
GO:0032279	asymmetric synapse	cellular_component	4	14	0.010269959	0.109433962	P61006|Q99996|Q9NQC3|Q86YT6|	RAB8A|AKAP9|RTN4|MIB1|
